知乎用户@佐藤謙一 先生的回答列表：
是否收集 问题地址 问题标题
√ http://www.zhihu.com/question/19845883 很多民族都侵略过中国，为何中国人最恨日本人？
√ http://www.zhihu.com/question/19807883 淘宝上有爱马仕的东西卖，价格比专卖店便宜很多，真的假的？
√ http://www.zhihu.com/question/21733358 业余和专业最大的区别是什么？
√ http://www.zhihu.com/question/21816046 如何理解空不是无，空是一种存在？
√ http://www.zhihu.com/question/21064952 买东西时遭遇怀疑你消费能力且不愿意搭理你的服务员或导购该如何应对？
√ http://www.zhihu.com/question/22538124 从佛家的角度怎么看待「优越感」？
√ http://www.zhihu.com/question/20525055 村上春树在爵士乐方面的鉴赏水平和演奏究竟如何？
http://www.zhihu.com/question/22670550 如何和日本人成为真心朋友？
√ http://www.zhihu.com/question/21287435 既然人生处处有风景，为何非得不断前行？
√ http://www.zhihu.com/question/20199946 哲学是什么？
√ http://www.zhihu.com/question/19888836 中华民国到什么时候为止？
√ http://www.zhihu.com/question/20354320 当今社会是否有抵制日货的必要？
√ http://www.zhihu.com/question/19816967 星巴克就是比雀巢好喝吗？
√ http://www.zhihu.com/question/20874376 如何选择各个价位段的西服？
√ http://www.zhihu.com/question/20321964 为什么中国历史年表中有元朝的存在，而没有使用「元朝时期中国灭国」的说法？在是否灭国这个问题上，是否有明确的界定？
√ http://www.zhihu.com/question/20541423 如何理解「存在纯属偶然，人生全无意义」？
√ http://www.zhihu.com/question/20257007 一些中国大陆青年人在公共场合的提问显得质量不高，原因有哪些？
√ http://www.zhihu.com/question/19671760 如何理解“存在”这个词？是当下？是此刻？还是根本就无从谈及的流逝？
√ http://www.zhihu.com/question/19556992 人活着的意义是什么？
√ http://www.zhihu.com/question/21707636 什么是奢侈品？
√ http://www.zhihu.com/question/19705938 在你所做过的事情中，最有创造性的是什么？
√ http://www.zhihu.com/question/21923064 「上流社会」的生活是怎样的？
√ http://www.zhihu.com/question/22008587 汉语里「公司」这个词是什么时候出现的？
√ http://www.zhihu.com/question/22015783 为什么佐藤謙一会经常删除之前的回答？
√ http://www.zhihu.com/question/22072409 佛教理论在逻辑上是不是有很多矛盾之处？
√ http://www.zhihu.com/question/20006380 日本的成人礼有什么习俗？都是怎么过的？
√ http://www.zhihu.com/question/20146527 如何理解「看山是山，看山不是山，看山还是山」的三层境界？
√ http://www.zhihu.com/question/22346392 「奉天承运皇帝诏曰」怎么断句？
√ http://www.zhihu.com/question/20590837 为何意大利的西服和皮具如此出名？
√ http://www.zhihu.com/question/22288667 如何优雅地在着正装时系安全带？
√ http://www.zhihu.com/question/21786507 入围诺贝尔文学奖提名次数最多，但却没有获得过一次奖的人是谁？
√ http://www.zhihu.com/question/20221441 儒家思想对传统建筑的影响有哪些？
√ http://www.zhihu.com/question/21641974 父母总向我推荐心灵鸡汤，怎么委婉地告诉他们我不需要又不伤害他们的感情？
√ http://www.zhihu.com/question/21356051 面对一个新事物，为什么日本越来越倾向于使用外来语，而不是通过和制汉语创造新词的方法来描述它？
√ http://www.zhihu.com/question/21456388 如果某部佛经失传了会怎样，如果所有佛经全都失传了又会怎样？
√ http://www.zhihu.com/question/20128745 学习英语最常见的误区有哪些？
√ http://www.zhihu.com/question/20442778 如果要到一个荒岛上过一辈子，可以带 10 本书去，你会带什么书？
√ http://www.zhihu.com/question/20525319 如何评价莫言获得诺贝尔文学奖？
√ http://www.zhihu.com/question/20567637 应试教育是否背离了教育的本质或初衷？
√ http://www.zhihu.com/question/20580229 日本曾经将汉字当作官方文字吗？
√ http://www.zhihu.com/question/20866995 数字是主观的还是客观的？是否存在无限小数？
√ http://www.zhihu.com/question/21001701 出差旅途中如何保养西装？
√ http://www.zhihu.com/question/21001854 绝对是绝对的吗？
√ http://www.zhihu.com/question/20481750 钱鍾书为什么没有获得诺贝尔奖？
√ http://www.zhihu.com/question/20444402 西方人的道德水平真的比中国人高吗？
√ http://www.zhihu.com/question/20401932 阿索斯山是个全面禁欲的男人岛，岛上的修道士平生未曾见过女人，那么，他们是从哪儿来的？如果一出生就被送到岛上，又是谁会把自己的孩子送来当修道士呢？岛上上千年源源不断的修道士，是如何保证延续性的？
√ http://www.zhihu.com/question/20374229 同样是和平岁月，同样是世袭，日本幕府时期的武士能保持他们的生命力，而为什么八旗却是一代不如一代呢？
√ http://www.zhihu.com/question/19644477 中文排版中有必要使用「首字下沉」吗？使用时需要注意什么问题？
√ http://www.zhihu.com/question/20231999 韩国废除汉字对于韩国是种损失吗？
√ http://www.zhihu.com/question/20320030 日本为什么能把禅宗发扬得这么好？
√ http://www.zhihu.com/question/20061794 日剧里面人物吃东西的时候经常会说“おいしい”，那些食物真的有那么好吃吗？
√ http://www.zhihu.com/question/21675526 朱元璋为什么把皇位传给孙子？
